barcode_name	library	experiment	biological	time_point	genotype	compartment	technical	library_type	genotype_compartment	genotype_time_point	compartment_time_point	genotype_compartment_time_point	experiment_biological	Description
Gr2B1bio2tp1pad4endophytestech1	ITS1_18	GR2	B1	bio2	tp1	pad4	endophytes	tech1	fungi	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio2	Gr2B1bio2tp1pad4endophytestech1
Gr2B1bio2tp1pad4endophytestech2	ITS1_19	GR2	B1	bio2	tp1	pad4	endophytes	tech2	fungi	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio2	Gr2B1bio2tp1pad4endophytestech2
Gr2B1bio2tp1pad4endophytestech3	ITS1_20	GR2	B1	bio2	tp1	pad4	endophytes	tech3	fungi	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio2	Gr2B1bio2tp1pad4endophytestech3
Gr2B1bio2tp1pad4endophytestech4	ITS1_21	GR2	B1	bio2	tp1	pad4	endophytes	tech4	fungi	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio2	Gr2B1bio2tp1pad4endophytestech4
Gr2B1bio2tp1rar1endophytestech1	ITS1_22	GR2	B1	bio2	tp1	rar1	endophytes	tech1	fungi	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio2	Gr2B1bio2tp1rar1endophytestech1
Gr2B1bio2tp1rar1endophytestech2	ITS1_23	GR2	B1	bio2	tp1	rar1	endophytes	tech2	fungi	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio2	Gr2B1bio2tp1rar1endophytestech2
Gr2B1bio2tp1rar1endophytestech3	ITS1_24	GR2	B1	bio2	tp1	rar1	endophytes	tech3	fungi	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio2	Gr2B1bio2tp1rar1endophytestech3
Gr2B1bio2tp1rar1endophytestech4	ITS1_25	GR2	B1	bio2	tp1	rar1	endophytes	tech4	fungi	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio2	Gr2B1bio2tp1rar1endophytestech4
Gr2B1bio2tp2WTendophytestech1	ITS1_30	GR2	B1	bio2	tp2	WT	endophytes	tech1	fungi	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio2	Gr2B1bio2tp2WTendophytestech1
Gr2B1bio2tp2WTendophytestech2	ITS1_31	GR2	B1	bio2	tp2	WT	endophytes	tech2	fungi	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio2	Gr2B1bio2tp2WTendophytestech2
Gr2B1bio2tp2WTendophytestech3	ITS1_32	GR2	B1	bio2	tp2	WT	endophytes	tech3	fungi	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio2	Gr2B1bio2tp2WTendophytestech3
Gr2B1bio2tp2WTendophytestech4	ITS1_33	GR2	B1	bio2	tp2	WT	endophytes	tech4	fungi	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio2	Gr2B1bio2tp2WTendophytestech4
Gr2B1bio2tp2wrkyendophytestech1	ITS1_38	GR2	B1	bio2	tp2	wrky3340	endophytes	tech1	fungi	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio2	Gr2B1bio2tp2wrkyendophytestech1
Gr2B1bio2tp2wrkyendophytestech2	ITS1_39	GR2	B1	bio2	tp2	wrky3340	endophytes	tech2	fungi	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio2	Gr2B1bio2tp2wrkyendophytestech2
Gr2B1bio2tp2wrkyendophytestech3	ITS1_40	GR2	B1	bio2	tp2	wrky3340	endophytes	tech3	fungi	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio2	Gr2B1bio2tp2wrkyendophytestech3
Gr2B1bio2tp2wrkyendophytestech4	ITS1_41	GR2	B1	bio2	tp2	wrky3340	endophytes	tech4	fungi	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio2	Gr2B1bio2tp2wrkyendophytestech4
Gr2B1bio2tp2efcendophytestech1	ITS1_42	GR2	B1	bio2	tp2	efc	endophytes	tech1	fungi	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio2	Gr2B1bio2tp2efcendophytestech1
Gr2B1bio2tp2efcendophytestech2	ITS1_43	GR2	B1	bio2	tp2	efc	endophytes	tech2	fungi	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio2	Gr2B1bio2tp2efcendophytestech2
Gr2B1bio2tp2efcendophytestech3	ITS1_44	GR2	B1	bio2	tp2	efc	endophytes	tech3	fungi	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio2	Gr2B1bio2tp2efcendophytestech3
Gr2B1bio2tp2efcendophytestech4	ITS1_45	GR2	B1	bio2	tp2	efc	endophytes	tech4	fungi	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio2	Gr2B1bio2tp2efcendophytestech4
Gr2B1bio2tp2bbendophytestech1	ITS1_46	GR2	B1	bio2	tp2	bb	endophytes	tech1	fungi	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio2	Gr2B1bio2tp2bbendophytestech1
Gr2B1bio2tp2bbendophytestech2	ITS1_47	GR2	B1	bio2	tp2	bb	endophytes	tech2	fungi	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio2	Gr2B1bio2tp2bbendophytestech2
